EmployeeNumber,LastName,FirstName,SSS,PhilHealth,TIN,PagIBIG,Email,Position,Status,Address,Phone
10021,Lazaro,Darlene,45-5617168-2,606386917510,354-650-951-000,104907708845,DLazaro@motorph.com,Account Rank and File,probationary,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",740-721-558
10022,Delos Santos,Kolby,52-0109570-6,357451271274,187-500-345-000,113017988667,KDelos Santos@motorph.com,Account Rank and File,probationary,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",739-443-033
10023,Santos,Vella,52-9883524-3,548670482885,101-558-994-000,360028104576,VSantos@motorph.com,Account Rank and File,probationary,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",955-879-269
10024,Del Rosario,Tomas,45-5866331-6,953901539995,560-735-732-000,913108649964,TDelrosario@motorph.com,Account Rank and File,probationary,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",882-550-989
10025,Tolentino,Jacklyn,47-1692793-0,753800654114,841-177-857-000,210546661243,JTolentino@motorph.com,Account Rank and File,probationary,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",675-757-366
10026,Gutierrez,Percival,40-9504657-8,797639382265,502-995-671-000,210897095686,PGutierrez@motorph.com,Account Rank and File,probationary,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",512-899-876
10027,Manalaysay,Garfield,45-3298166-4,810909286264,336-676-445-000,211274476563,GManalaysay@motorph.com,Account Rank and File,probationary,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",948-628-136
10028,Villegas,Lizeth,40-2400719-4,934389652994,210-395-397-000,122238077997,LVillegas@motorph.com,Account Rank and File,probationary,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",332-372-215
10029,Ramos,Carol,60-1152206-4,351830469744,395-032-717-000,212141893454,CRamos@motorph.com,Account Rank and File,probationary,"72/70 Stamm Spurs, Bustos 4550 Iloilo",250-700-389
10030,Maceda,Emelia,54-1331005-0,465087894112,215-973-013-000,515012579765,EMaceda@motorph.com,Account Rank and File,probationary,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",973-358-041
10031,Aguilar,Delia,52-1859253-1,136451303068,599-312-588-000,110018813465,DAguilar@motorph.com,Account Rank and File,probationary,"95 Cremin Junction, Surallah 2809 Cotabato",529-705-439
10032,Castro,John Rafael,26-7145133-4,601644902402,404-768-309-000,697764000000,JCastro@motorph.com,Sales & Marketing,regular,"Hi-way, Yati, Liloan Cebu",332-424-955
10033,Martinez,Carlos Ian,11-5062972-7,380685387212,256-436-296-000,993372963726,CMartinez@motorph.com,Supply Chain and Logistics,regular,"Bulala, Camalaniugan",078-854-208
10034,Santos,Beatriz,20-2987501-5,918460050077,911-529-713-000,874042259378,BSantos@motorph.com,Customer Service and Relations,regular,"Agapita Building, Metro Manila",526-639-511
